,latitude,longitude,altitude
260,28.000971846,86.85093214,5286.1
261,28.008715125,86.851041045,5401.3
262,28.012033063,86.851146595,5469.3
263,28.013905204,86.851147228,5470.4
264,28.015543883,86.850740631,5522.0
265,28.016956738,86.850635463,5585.6
266,28.017961716,86.850739298,5625.6
267,28.018936589,86.850683033,5691.2
268,28.021227704,86.851209894,5937.3
269,28.021986682,86.851371638,6051.7
270,28.022918407,86.851603898,6178.8
271,28.024391927,86.851979179,6295.4
272,28.025349285,86.852573896,6321.7
273,28.026273128,86.853707137,6463.3
274,28.026788523,86.854369584,6585.0
275,28.026850855,86.855877603,6565.9
276,28.026380101,86.856537591,6491.4
277,28.025734489,86.857134339,6343.2
278,28.024933179,86.8578533,6102.5
279,28.022110504,86.858004459,5729.7
280,28.018179447,86.858197802,5492.2
281,28.006342934,86.859021443,5329.5
282,28.000685088,86.859818529,5313.4
283,27.996702585,86.860423508,5349.7
284,27.991599701,86.86226724,5909.9
285,27.985954914,86.863350726,6181.9
286,27.981896474,86.862848387,5838.2
287,27.977034556,86.863398029,5997.5
288,27.972575308,86.864041088,6262.8
289,27.961294629,86.861772372,5521.3
290,27.953467503,86.861316674,5472.2
291,27.948316059,86.86102827,5421.7
292,27.94392366,86.860197513,5306.8
293,27.940859124,86.859899894,5239.0
294,27.937417656,86.859663489,5210.6
295,27.934098181,86.859543473,5262.0
296,27.932840758,86.859574474,5238.1
297,27.931327443,86.859569708,5235.5
298,27.929202339,86.860067964,5202.1
299,27.925547157,86.861262648,5221.4
300,27.923186664,86.861828342,5089.4
301,27.921653894,86.862770564,5048.7
302,27.919691378,86.864908858,5039.4
303,27.917779747,86.866372442,5022.3
304,27.916940604,86.867109177,5011.4
305,27.915877099,86.868557624,5017.9
306,27.915659364,86.869511516,5034.9
307,27.916876096,86.870770703,5046.2
308,27.919420211,86.871925032,5198.9
309,27.921858127,86.872421855,5254.7
310,27.927282713,86.873225991,5223.3
311,27.930908494,86.873418909,5208.6
312,27.940245445,86.873235429,5679.8
313,27.944854393,86.871894883,5506.8
314,27.950152693,86.871195191,5382.3
315,27.961846657,86.872606481,5694.1
316,27.964966131,86.872836254,5893.4
317,27.96928525,86.874199425,6752.2
318,27.973357256,86.875780763,7443.6
319,27.978082053,86.875672225,6652.3
320,27.98713185,86.875033451,6037.6
321,27.987744683,86.875017003,6033.8
322,27.994874389,86.874118914,5851.3
323,27.998560518,86.872403685,5720.6
324,27.99938599,86.872112276,5675.7
325,28.000833143,86.871228782,5586.7
326,28.001870371,86.870376461,5516.8
327,28.004166146,86.868970923,5414.2
328,28.00562304,86.868212846,5415.2
329,28.007078258,86.867471627,5412.5
330,28.008510459,86.866851507,5510.9
331,28.011931815,86.867284938,5749.3
332,28.017095116,86.867206319,5812.2
333,28.019361354,86.86718187,5793.2
334,28.021910747,86.86742962,5994.4
335,28.022661466,86.867563887,6074.5
